id,name,lat,lon,demand_kg,priority,service_time_min,deadline_min
1,Hospital Central,-23.5505,-46.6333,120,3,20,120
2,UBS Bela Vista,-23.5614,-46.6559,40,2,15,180
3,Hospital Infantil,-23.5489,-46.6388,80,3,20,150
4,Clinica Zona Norte,-23.5000,-46.6200,35,1,10,300
5,UBS Mooca,-23.5600,-46.5900,55,2,15,240
6,Centro de Distribuicao Leste,-23.5300,-46.5600,90,1,20,360
7,Hospital Sao Paulo,-23.5983,-46.6455,110,3,20,180
8,UBS Pinheiros,-23.5660,-46.7010,45,2,15,240
9,Clinica Vila Mariana,-23.5890,-46.6340,30,1,10,360
10,Hospital Zona Sul,-23.6500,-46.7100,100,3,20,240
11,UBS Tatuape,-23.5400,-46.5750,50,2,15,300
12,Clinica Butanta,-23.5700,-46.7200,60,1,10,420
